dup_id,canonical_id,rule,score
CHEMBL285123,CHEMBL11298,InChIKeyFull,1.0
CHEMBL305222,CHEMBL11306,InChIKeyFull,1.0
CHEMBL452083,CHEMBL11306,InChIKeyFull,1.0
CHEMBL1190,CHEMBL1134,InChIKeyFull,1.0
CHEMBL3350201,CHEMBL114,InChIKeyFull,1.0
CHEMBL115344,CHEMBL114031,InChIKeyFull,1.0
CHEMBL121916,CHEMBL114272,InChIKeyFull,1.0
CHEMBL690,CHEMBL1144,InChIKeyFull,1.0
CHEMBL279785,CHEMBL115189,InChIKeyFull,1.0
CHEMBL465591,CHEMBL115585,InChIKeyFull,1.0
CHEMBL307192,CHEMBL115653,InChIKeyFull,1.0
CHEMBL5175770,CHEMBL115653,InChIKeyFull,1.0
CHEMBL328886,CHEMBL115774,InChIKeyFull,1.0
CHEMBL301060,CHEMBL11592,InChIKeyFull,1.0
CHEMBL1159704,CHEMBL1159695,InChIKeyFull,1.0
CHEMBL1159707,CHEMBL1159706,InChIKeyFull,1.0
CHEMBL223344,CHEMBL1160031,InChIKeyFull,1.0
CHEMBL54,CHEMBL1160253,InChIKeyFull,1.0
CHEMBL545608,CHEMBL1160253,InChIKeyFull,1.0
CHEMBL1160500,CHEMBL1160488,InChIKeyFull,1.0
CHEMBL1199647,CHEMBL1160621,InChIKeyFull,1.0
CHEMBL1199648,CHEMBL1160622,InChIKeyFull,1.0
CHEMBL1256360,CHEMBL1160723,InChIKeyFull,1.0
CHEMBL353335,CHEMBL1160787,InChIKeyFull,1.0
CHEMBL553503,CHEMBL1160787,InChIKeyFull,1.0
CHEMBL333065,CHEMBL1160977,InChIKeyFull,1.0
CHEMBL4792986,CHEMBL1161322,InChIKeyFull,1.0
CHEMBL1161416,CHEMBL1161412,InChIKeyFull,1.0
CHEMBL1161429,CHEMBL1161428,InChIKeyFull,1.0
CHEMBL1161671,CHEMBL1161670,InChIKeyFull,1.0
CHEMBL2007996,CHEMBL1161905,InChIKeyFull,1.0
CHEMBL246789,CHEMBL1162137,InChIKeyFull,1.0
CHEMBL246788,CHEMBL1162139,InChIKeyFull,1.0
CHEMBL1163409,CHEMBL1163399,InChIKeyFull,1.0
CHEMBL1163406,CHEMBL1163402,InChIKeyFull,1.0
CHEMBL1165395,CHEMBL1163404,InChIKeyFull,1.0
CHEMBL567303,CHEMBL1164032,InChIKeyFull,1.0
CHEMBL140,CHEMBL116438,InChIKeyFull,1.0
CHEMBL4085289,CHEMBL1165371,InChIKeyFull,1.0
CHEMBL324290,CHEMBL116776,InChIKeyFull,1.0
CHEMBL355128,CHEMBL1169538,InChIKeyFull,1.0
CHEMBL503011,CHEMBL1169559,InChIKeyFull,1.0
CHEMBL506444,CHEMBL1170181,InChIKeyFull,1.0
CHEMBL461321,CHEMBL1170182,InChIKeyFull,1.0
CHEMBL1170409,CHEMBL1170408,InChIKeyFull,1.0
CHEMBL1170411,CHEMBL1170410,InChIKeyFull,1.0
CHEMBL1170417,CHEMBL1170416,InChIKeyFull,1.0
CHEMBL231495,CHEMBL1170883,InChIKeyFull,1.0
CHEMBL454606,CHEMBL11709,InChIKeyFull,1.0
CHEMBL2037184,CHEMBL117165,InChIKeyFull,1.0
CHEMBL461320,CHEMBL1172027,InChIKeyFull,1.0
CHEMBL2372623,CHEMBL1172249,InChIKeyFull,1.0
CHEMBL540542,CHEMBL117248,InChIKeyFull,1.0
CHEMBL50,CHEMBL1173475,InChIKeyFull,1.0
CHEMBL2105712,CHEMBL1173655,InChIKeyFull,1.0
CHEMBL423823,CHEMBL117672,InChIKeyFull,1.0
CHEMBL41275,CHEMBL1178786,InChIKeyFull,1.0
CHEMBL1255743,CHEMBL1179,InChIKeyFull,1.0
CHEMBL3989843,CHEMBL1179,InChIKeyFull,1.0
CHEMBL120109,CHEMBL1180284,InChIKeyFull,1.0
CHEMBL120119,CHEMBL1180285,InChIKeyFull,1.0
CHEMBL149121,CHEMBL1180969,InChIKeyFull,1.0
CHEMBL149298,CHEMBL1180976,InChIKeyFull,1.0
CHEMBL2037181,CHEMBL118169,InChIKeyFull,1.0
CHEMBL191460,CHEMBL1181770,InChIKeyFull,1.0
CHEMBL215421,CHEMBL1182155,InChIKeyFull,1.0
CHEMBL3741808,CHEMBL1182155,InChIKeyFull,1.0
CHEMBL265470,CHEMBL1182777,InChIKeyFull,1.0
CHEMBL318112,CHEMBL1183796,InChIKeyFull,1.0
CHEMBL327331,CHEMBL1183989,InChIKeyFull,1.0
CHEMBL667,CHEMBL1184,InChIKeyFull,1.0
CHEMBL328582,CHEMBL1184021,InChIKeyFull,1.0
CHEMBL281086,CHEMBL118449,InChIKeyFull,1.0
CHEMBL3216422,CHEMBL1186058,InChIKeyFull,1.0
CHEMBL3215564,CHEMBL1186374,InChIKeyFull,1.0
CHEMBL461579,CHEMBL1186409,InChIKeyFull,1.0
CHEMBL464493,CHEMBL1186460,InChIKeyFull,1.0
CHEMBL1201770,CHEMBL1186579,InChIKeyFull,1.0
CHEMBL470617,CHEMBL1186579,InChIKeyFull,1.0
CHEMBL473546,CHEMBL1186644,InChIKeyFull,1.0
CHEMBL3216208,CHEMBL1187001,InChIKeyFull,1.0
CHEMBL3216210,CHEMBL1187774,InChIKeyFull,1.0
CHEMBL332091,CHEMBL118923,InChIKeyFull,1.0
CHEMBL540960,CHEMBL1190487,InChIKeyFull,1.0
CHEMBL92129,CHEMBL119096,InChIKeyFull,1.0
CHEMBL542016,CHEMBL1190983,InChIKeyFull,1.0
CHEMBL545103,CHEMBL1193656,InChIKeyFull,1.0
CHEMBL555891,CHEMBL1196093,InChIKeyFull,1.0
CHEMBL576409,CHEMBL1197556,InChIKeyFull,1.0
CHEMBL574567,CHEMBL1197763,InChIKeyFull,1.0
CHEMBL3215582,CHEMBL1197798,InChIKeyFull,1.0
CHEMBL592704,CHEMBL1197989,InChIKeyFull,1.0
CHEMBL601041,CHEMBL1198307,InChIKeyFull,1.0
CHEMBL429,CHEMBL1200323,InChIKeyFull,1.0
CHEMBL1229,CHEMBL1200340,InChIKeyFull,1.0
CHEMBL1221,CHEMBL1200348,InChIKeyFull,1.0
CHEMBL1201203,CHEMBL1200383,InChIKeyFull,1.0
CHEMBL844,CHEMBL1200389,InChIKeyFull,1.0
CHEMBL49,CHEMBL1200399,InChIKeyFull,1.0
CHEMBL657,CHEMBL1200406,InChIKeyFull,1.0
CHEMBL926,CHEMBL1200418,InChIKeyFull,1.0
CHEMBL896,CHEMBL1200467,InChIKeyFull,1.0
CHEMBL1336,CHEMBL1200485,InChIKeyFull,1.0
CHEMBL623,CHEMBL1200492,InChIKeyFull,1.0
CHEMBL862,CHEMBL1200494,InChIKeyFull,1.0
CHEMBL481,CHEMBL1200512,InChIKeyFull,1.0
CHEMBL541887,CHEMBL1200512,InChIKeyFull,1.0
CHEMBL1732,CHEMBL1200517,InChIKeyFull,1.0
CHEMBL996,CHEMBL1200530,InChIKeyFull,1.0
CHEMBL321818,CHEMBL120055,InChIKeyFull,1.0
CHEMBL707,CHEMBL1200561,InChIKeyFull,1.0
CHEMBL1477,CHEMBL1200563,InChIKeyFull,1.0
CHEMBL558,CHEMBL1200606,InChIKeyFull,1.0
CHEMBL1655,CHEMBL1200675,InChIKeyFull,1.0
CHEMBL787,CHEMBL1200681,InChIKeyFull,1.0
CHEMBL415,CHEMBL1200710,InChIKeyFull,1.0
CHEMBL32,CHEMBL1200735,InChIKeyFull,1.0
CHEMBL1201284,CHEMBL1200776,InChIKeyFull,1.0
