dup_id,canonical_id
CHEMBL1160192,CHEMBL1160181
CHEMBL170975,CHEMBL168450
CHEMBL168553,CHEMBL6676
CHEMBL169540,CHEMBL6676
CHEMBL170789,CHEMBL6676
CHEMBL25889,CHEMBL6676
CHEMBL355543,CHEMBL6676
CHEMBL434209,CHEMBL6676
CHEMBL170494,CHEMBL168970
CHEMBL354785,CHEMBL169981
CHEMBL23977,CHEMBL22973
CHEMBL307914,CHEMBL263325
CHEMBL389051,CHEMBL265510
CHEMBL422395,CHEMBL265510
CHEMBL1701,CHEMBL607
CHEMBL200288,CHEMBL188557
CHEMBL200671,CHEMBL188557
CHEMBL383360,CHEMBL188557
CHEMBL196857,CHEMBL192801
CHEMBL197423,CHEMBL192801
CHEMBL370830,CHEMBL192801
CHEMBL197013,CHEMBL196806
CHEMBL200056,CHEMBL196806
CHEMBL364536,CHEMBL196806
CHEMBL360834,CHEMBL196808
CHEMBL424849,CHEMBL196808
CHEMBL425743,CHEMBL196808
CHEMBL199002,CHEMBL197389
CHEMBL373108,CHEMBL197389
CHEMBL383585,CHEMBL197389
CHEMBL198518,CHEMBL197539
CHEMBL363738,CHEMBL197539
CHEMBL200202,CHEMBL198641
CHEMBL370401,CHEMBL198641
CHEMBL372709,CHEMBL198641
CHEMBL200252,CHEMBL46413
CHEMBL2079591,CHEMBL46413
CHEMBL296019,CHEMBL46413
CHEMBL297166,CHEMBL46413
CHEMBL202327,CHEMBL202200
CHEMBL383094,CHEMBL202200
CHEMBL242920,CHEMBL215988
CHEMBL1172929,CHEMBL1172928
CHEMBL252172,CHEMBL101519
CHEMBL4210991,CHEMBL4207266
CHEMBL330207,CHEMBL101654
CHEMBL105081,CHEMBL101694
CHEMBL101797,CHEMBL86755
CHEMBL1996176,CHEMBL86755
CHEMBL354650,CHEMBL169591
CHEMBL424207,CHEMBL171439
CHEMBL3621296,CHEMBL3621294
CHEMBL1584044,CHEMBL101892
CHEMBL2092972,CHEMBL171699
CHEMBL3350229,CHEMBL171699
CHEMBL2069462,CHEMBL1814776
CHEMBL2069457,CHEMBL99203
CHEMBL4859430,CHEMBL4856247
CHEMBL377785,CHEMBL101905
CHEMBL111443,CHEMBL110065
CHEMBL1630,CHEMBL682
CHEMBL5290464,CHEMBL10195
CHEMBL5280240,CHEMBL10483
CHEMBL5266498,CHEMBL10534
CHEMBL454606,CHEMBL11709
CHEMBL1269148,CHEMBL1269061
CHEMBL1269149,CHEMBL1269061
CHEMBL1270943,CHEMBL1270843
CHEMBL2262044,CHEMBL53651
CHEMBL4095474,CHEMBL269538
CHEMBL509197,CHEMBL307783
CHEMBL5187841,CHEMBL423914
CHEMBL4562365,CHEMBL4516344
CHEMBL499814,CHEMBL52750
CHEMBL510764,CHEMBL69719
CHEMBL24588,CHEMBL10207
CHEMBL26560,CHEMBL10207
CHEMBL26118,CHEMBL10270
CHEMBL273412,CHEMBL10270
CHEMBL286205,CHEMBL10270
CHEMBL418705,CHEMBL10270
CHEMBL10408,CHEMBL10289
CHEMBL25483,CHEMBL10289
CHEMBL275543,CHEMBL10289
CHEMBL285873,CHEMBL10289
CHEMBL566133,CHEMBL10289
CHEMBL24222,CHEMBL10570
CHEMBL276825,CHEMBL10570
CHEMBL280955,CHEMBL10570
CHEMBL566970,CHEMBL10570
CHEMBL2111566,CHEMBL93534
CHEMBL317747,CHEMBL102107
CHEMBL175620,CHEMBL102121
CHEMBL2370416,CHEMBL102216
CHEMBL554551,CHEMBL102341
CHEMBL5186898,CHEMBL5186190
CHEMBL5196906,CHEMBL5186190
CHEMBL5197971,CHEMBL5186190
CHEMBL5204901,CHEMBL5186190
CHEMBL102798,CHEMBL102438
CHEMBL296911,CHEMBL104022
CHEMBL320402,CHEMBL104022
CHEMBL102497,CHEMBL22650
CHEMBL115730,CHEMBL22650
CHEMBL178895,CHEMBL22650
CHEMBL321092,CHEMBL22650
CHEMBL368835,CHEMBL174533
CHEMBL177720,CHEMBL176037
CHEMBL607015,CHEMBL607014
CHEMBL607064,CHEMBL607014
CHEMBL607066,CHEMBL607065
CHEMBL2370424,CHEMBL102552
CHEMBL324290,CHEMBL116776
CHEMBL419378,CHEMBL116888
CHEMBL1172104,CHEMBL44509
CHEMBL1206232,CHEMBL289351
CHEMBL2019155,CHEMBL165
CHEMBL179194,CHEMBL176059
CHEMBL369262,CHEMBL179374
CHEMBL369169,CHEMBL180217
CHEMBL1949789,CHEMBL1949788
CHEMBL1972346,CHEMBL69863
CHEMBL244727,CHEMBL215583
CHEMBL2334133,CHEMBL2334132
CHEMBL2334143,CHEMBL2334142
CHEMBL243684,CHEMBL242396
CHEMBL311636,CHEMBL296411
CHEMBL542922,CHEMBL330407
CHEMBL3335370,CHEMBL3335369
CHEMBL36455,CHEMBL67
CHEMBL4637351,CHEMBL4204646
CHEMBL4637699,CHEMBL4204646
CHEMBL4643181,CHEMBL4216310
CHEMBL4291079,CHEMBL4285772
CHEMBL4293646,CHEMBL4285772
CHEMBL459547,CHEMBL457224
CHEMBL4643715,CHEMBL4636790
CHEMBL87982,CHEMBL47426
CHEMBL5197251,CHEMBL5169810
CHEMBL5183358,CHEMBL5177093
CHEMBL5193980,CHEMBL5186656
CHEMBL5200390,CHEMBL5190192
CHEMBL1026,CHEMBL588
CHEMBL1160787,CHEMBL353335
CHEMBL553503,CHEMBL353335
CHEMBL1256645,CHEMBL62
CHEMBL13668,CHEMBL62
CHEMBL1814790,CHEMBL62
CHEMBL1467585,CHEMBL24077
CHEMBL286080,CHEMBL24077
CHEMBL505308,CHEMBL24077
CHEMBL542700,CHEMBL24077
CHEMBL1489369,CHEMBL324017
CHEMBL552611,CHEMBL288090
CHEMBL317741,CHEMBL35354
CHEMBL544115,CHEMBL35354
CHEMBL102614,CHEMBL44922
CHEMBL261272,CHEMBL113003
CHEMBL3752564,CHEMBL202932
CHEMBL382201,CHEMBL202932
CHEMBL269996,CHEMBL252391
CHEMBL330028,CHEMBL43147
CHEMBL3752419,CHEMBL3751997
CHEMBL3759921,CHEMBL3758251
CHEMBL3759982,CHEMBL3758251
CHEMBL3775041,CHEMBL3774784
CHEMBL3775104,CHEMBL3774784
CHEMBL3775979,CHEMBL3774784
CHEMBL3827453,CHEMBL3827162
CHEMBL43479,CHEMBL42067
CHEMBL421882,CHEMBL42420
CHEMBL43152,CHEMBL42420
CHEMBL4293423,CHEMBL4284088
CHEMBL45040,CHEMBL42938
CHEMBL433262,CHEMBL43644
CHEMBL435298,CHEMBL563
CHEMBL5209328,CHEMBL5174998
CHEMBL557713,CHEMBL549698
CHEMBL1695,CHEMBL1027
CHEMBL3685329,CHEMBL3675415
CHEMBL3907094,CHEMBL599218
CHEMBL605976,CHEMBL599218
CHEMBL3736185,CHEMBL106124
CHEMBL2115348,CHEMBL2114408
CHEMBL3736361,CHEMBL3734811
CHEMBL3735951,CHEMBL3734932
CHEMBL3736299,CHEMBL3734932
CHEMBL3736459,CHEMBL3734932
CHEMBL3735159,CHEMBL3734940
CHEMBL3735858,CHEMBL3734940
CHEMBL3736512,CHEMBL3734940
CHEMBL3735396,CHEMBL3735210
CHEMBL3735963,CHEMBL3735306
CHEMBL419734,CHEMBL99309
CHEMBL103976,CHEMBL102807
CHEMBL319217,CHEMBL102807
CHEMBL1532768,CHEMBL367625
CHEMBL4080283,CHEMBL367625
CHEMBL4073318,CHEMBL4066861
CHEMBL4088144,CHEMBL4066861
CHEMBL4104505,CHEMBL4066861
CHEMBL4094492,CHEMBL4067013
CHEMBL4082309,CHEMBL4078898
CHEMBL4100324,CHEMBL4078898
CHEMBL4104657,CHEMBL4078898
CHEMBL5276465,CHEMBL4078898
CHEMBL1086997,CHEMBL1029
CHEMBL2177695,CHEMBL1090539
CHEMBL307429,CHEMBL110458
CHEMBL1651549,CHEMBL187158
CHEMBL1651550,CHEMBL187158
CHEMBL1651551,CHEMBL187158
CHEMBL1651552,CHEMBL187158
CHEMBL408500,CHEMBL187158
CHEMBL1651630,CHEMBL1651629
CHEMBL1651631,CHEMBL1651629
CHEMBL1651632,CHEMBL1651629
CHEMBL1651633,CHEMBL1651629
CHEMBL1818433,CHEMBL206468
CHEMBL2115215,CHEMBL87169
CHEMBL501355,CHEMBL87169
CHEMBL277498,CHEMBL77575
CHEMBL3961220,CHEMBL3400804
CHEMBL3400807,CHEMBL3400806
CHEMBL3400808,CHEMBL3400806
