a,b,rule,fp
CHEMBL22650,CHEMBL321092,FP,1.0
CHEMBL22650,CHEMBL178895,FP,1.0
CHEMBL22650,CHEMBL115730,FP,1.0
CHEMBL115730,CHEMBL102497,FP,1.0
CHEMBL115730,CHEMBL321092,FP,1.0
CHEMBL115730,CHEMBL178895,FP,1.0
CHEMBL115730,CHEMBL22650,FP,1.0
CHEMBL2370424,CHEMBL102552,FP,1.0
CHEMBL102552,CHEMBL2370424,FP,1.0
CHEMBL1026,CHEMBL588,FP,1.0
CHEMBL588,CHEMBL1026,FP,1.0
CHEMBL102614,CHEMBL44922,FP,1.0
CHEMBL44922,CHEMBL102614,FP,1.0
CHEMBL1027,CHEMBL1695,FP,1.0
CHEMBL1695,CHEMBL1027,FP,1.0
CHEMBL273412,CHEMBL286205,FP,1.0
CHEMBL273412,CHEMBL10270,FP,1.0
CHEMBL273412,CHEMBL418705,FP,1.0
CHEMBL273412,CHEMBL26118,FP,1.0
CHEMBL286205,CHEMBL273412,FP,1.0
CHEMBL286205,CHEMBL10270,FP,1.0
CHEMBL286205,CHEMBL418705,FP,1.0
CHEMBL286205,CHEMBL26118,FP,1.0
CHEMBL10270,CHEMBL273412,FP,1.0
CHEMBL10270,CHEMBL286205,FP,1.0
CHEMBL10270,CHEMBL418705,FP,1.0
CHEMBL10270,CHEMBL26118,FP,1.0
CHEMBL418705,CHEMBL273412,FP,1.0
CHEMBL418705,CHEMBL286205,FP,1.0
CHEMBL418705,CHEMBL10270,FP,1.0
CHEMBL418705,CHEMBL26118,FP,1.0
CHEMBL26118,CHEMBL273412,FP,1.0
CHEMBL26118,CHEMBL286205,FP,1.0
CHEMBL26118,CHEMBL10270,FP,1.0
CHEMBL26118,CHEMBL418705,FP,1.0
CHEMBL102807,CHEMBL319217,FP,1.0
CHEMBL102807,CHEMBL103976,FP,1.0
CHEMBL319217,CHEMBL102807,FP,1.0
CHEMBL319217,CHEMBL103976,FP,1.0
CHEMBL103976,CHEMBL102807,FP,1.0
CHEMBL103976,CHEMBL319217,FP,1.0
CHEMBL285873,CHEMBL10289,FP,1.0
CHEMBL285873,CHEMBL275543,FP,1.0
CHEMBL285873,CHEMBL10408,FP,1.0
CHEMBL285873,CHEMBL25483,FP,1.0
CHEMBL285873,CHEMBL566133,FP,1.0
CHEMBL10289,CHEMBL285873,FP,1.0
CHEMBL10289,CHEMBL275543,FP,1.0
CHEMBL10289,CHEMBL10408,FP,1.0
CHEMBL10289,CHEMBL25483,FP,1.0
CHEMBL10289,CHEMBL566133,FP,1.0
CHEMBL275543,CHEMBL285873,FP,1.0
CHEMBL275543,CHEMBL10289,FP,1.0
CHEMBL275543,CHEMBL10408,FP,1.0
CHEMBL275543,CHEMBL25483,FP,1.0
CHEMBL275543,CHEMBL566133,FP,1.0
CHEMBL10408,CHEMBL285873,FP,1.0
CHEMBL10408,CHEMBL10289,FP,1.0
CHEMBL10408,CHEMBL275543,FP,1.0
CHEMBL10408,CHEMBL25483,FP,1.0
CHEMBL10408,CHEMBL566133,FP,1.0
CHEMBL25483,CHEMBL285873,FP,1.0
CHEMBL25483,CHEMBL10289,FP,1.0
CHEMBL25483,CHEMBL275543,FP,1.0
CHEMBL25483,CHEMBL10408,FP,1.0
CHEMBL25483,CHEMBL566133,FP,1.0
CHEMBL566133,CHEMBL285873,FP,1.0
CHEMBL566133,CHEMBL10289,FP,1.0
CHEMBL566133,CHEMBL275543,FP,1.0
CHEMBL566133,CHEMBL10408,FP,1.0
CHEMBL566133,CHEMBL25483,FP,1.0
CHEMBL1029,CHEMBL1086997,FP,1.0
CHEMBL1086997,CHEMBL1029,FP,1.0
CHEMBL171480,CHEMBL103059,FP,1.0
CHEMBL103059,CHEMBL171480,FP,1.0
CHEMBL543467,CHEMBL10316,FP,1.0
CHEMBL10316,CHEMBL543467,FP,1.0
CHEMBL93413,CHEMBL103228,FP,1.0
CHEMBL103228,CHEMBL93413,FP,1.0
CHEMBL313578,CHEMBL103307,FP,1.0
CHEMBL103307,CHEMBL313578,FP,1.0
CHEMBL10339,CHEMBL315663,FP,1.0
CHEMBL315663,CHEMBL10339,FP,1.0
CHEMBL1034,CHEMBL139,FP,1.0
CHEMBL139,CHEMBL1034,FP,1.0
CHEMBL10347,CHEMBL537669,FP,1.0
CHEMBL10347,CHEMBL1257131,FP,1.0
CHEMBL10347,CHEMBL31410,FP,1.0
CHEMBL10347,CHEMBL15245,FP,1.0
CHEMBL537669,CHEMBL10347,FP,1.0
CHEMBL537669,CHEMBL1257131,FP,1.0
CHEMBL537669,CHEMBL31410,FP,1.0
CHEMBL537669,CHEMBL15245,FP,1.0
CHEMBL1257131,CHEMBL10347,FP,1.0
