bucket_id,member
CHEMBL2180821,CHEMBL2180821
CHEMBL2180821,CHEMBL2180818
CHEMBL462998,CHEMBL462801
CHEMBL462998,CHEMBL221137
CHEMBL462998,CHEMBL462998
CHEMBL228139,CHEMBL228139
CHEMBL228139,CHEMBL227851
CHEMBL228103,CHEMBL228103
CHEMBL228103,CHEMBL228049
CHEMBL4643138,CHEMBL4643138
CHEMBL4643138,CHEMBL2312168
CHEMBL2391472,CHEMBL2391470
CHEMBL2391472,CHEMBL2391461
CHEMBL2391472,CHEMBL2391472
CHEMBL2415105,CHEMBL2415105
CHEMBL2415105,CHEMBL2413160
CHEMBL2431006,CHEMBL2431006
CHEMBL2431006,CHEMBL2431003
CHEMBL251206,CHEMBL251206
CHEMBL251206,CHEMBL251010
CHEMBL406734,CHEMBL406734
CHEMBL406734,CHEMBL260080
CHEMBL62245,CHEMBL264495
CHEMBL62245,CHEMBL58945
CHEMBL62245,CHEMBL294066
CHEMBL62245,CHEMBL60546
CHEMBL62245,CHEMBL62056
CHEMBL62245,CHEMBL62245
CHEMBL336483,CHEMBL336483
CHEMBL336483,CHEMBL265112
CHEMBL284617,CHEMBL284617
CHEMBL284617,CHEMBL34998
CHEMBL286297,CHEMBL286297
CHEMBL286297,CHEMBL34073
CHEMBL286338,CHEMBL286338
CHEMBL286338,CHEMBL34768
CHEMBL295072,CHEMBL295072
CHEMBL295072,CHEMBL287587
CHEMBL289003,CHEMBL289003
CHEMBL289003,CHEMBL35348
CHEMBL289302,CHEMBL289302
CHEMBL289302,CHEMBL78855
CHEMBL289672,CHEMBL289672
CHEMBL289672,CHEMBL32949
CHEMBL418599,CHEMBL418599
CHEMBL418599,CHEMBL290348
CHEMBL538595,CHEMBL538595
CHEMBL538595,CHEMBL29292
CHEMBL302213,CHEMBL301742
CHEMBL302213,CHEMBL701
CHEMBL302213,CHEMBL302213
CHEMBL3104171,CHEMBL3104171
CHEMBL3104171,CHEMBL3104170
CHEMBL3142508,CHEMBL3142508
CHEMBL3142508,CHEMBL3142506
CHEMBL3143261,CHEMBL3143261
CHEMBL3143261,CHEMBL357388
CHEMBL317634,CHEMBL317634
CHEMBL317634,CHEMBL8600
CHEMBL35747,CHEMBL35747
CHEMBL35747,CHEMBL32096
CHEMBL35746,CHEMBL35746
CHEMBL35746,CHEMBL32160
CHEMBL35907,CHEMBL35907
CHEMBL35907,CHEMBL32732
CHEMBL35695,CHEMBL35695
CHEMBL35695,CHEMBL32836
CHEMBL34319,CHEMBL34319
CHEMBL34319,CHEMBL32982
CHEMBL333335,CHEMBL333335
CHEMBL333335,CHEMBL332373
CHEMBL3350685,CHEMBL3350685
CHEMBL3350685,CHEMBL3350246
CHEMBL3355298,CHEMBL3355298
CHEMBL3355298,CHEMBL3355283
CHEMBL3359168,CHEMBL3359167
CHEMBL3359168,CHEMBL3359166
CHEMBL3359168,CHEMBL3359168
CHEMBL3359173,CHEMBL3359172
CHEMBL3359173,CHEMBL3359171
CHEMBL3359173,CHEMBL3359173
CHEMBL36525,CHEMBL36525
CHEMBL36525,CHEMBL34013
CHEMBL422639,CHEMBL422639
